GRIDSIZEKM,GRID_ID,STATE,AREA_SQKM,Albers_X,Albers_Y,Latitude,Longitude,Shape_Length,Shape_Area,GRTS_No,Sample,Surveyed2017,SiteType2017
15.000000000000000,11240.000000000000000,Wyoming,225,-1086046.166400000452995,2282721.409300000406802,42.850296430000000,-109.408558709999994,59999.999932831044134,224999999.496232837438583,Id-571,No,No,
15.000000000000000,11241.000000000000000,Wyoming,225,-1071292.236572043271735,2280015.572107791434973,42.844759209999999,-109.224143830000003,60000.000049229965953,225000000.369224756956100,Id-003,Yes,Yes,Lure
15.000000000000000,11242.000000000000000,Wyoming,225,-1056538.306727957213297,2277309.734842208679765,42.838961779999998,-109.039759180000004,60000.000085309235146,225000000.639819234609604,Id-587,No,No,
15.000000000000000,11109.000000000000000,Wyoming,225,-1192029.512270165840164,2286908.340114251710474,42.747575619999999,-110.705113179999998,59999.999772190756630,224999998.291430681943893,Id-307,No,No,
15.000000000000000,11110.000000000000000,Wyoming,225,-1177275.582472042413428,2284202.502907790709287,42.743869510000003,-110.520882959999994,60000.000049229296565,225000000.369219720363617,Id-099,Yes,Yes,Bait
15.000000000000000,11116.000000000000000,Wyoming,225,-1088752.003592209424824,2267967.479522043373436,42.716173329999997,-109.415978749999994,59999.999852509892662,224999998.893824189901352,Id-051,Yes,Yes,Bait
15.000000000000000,11117.000000000000000,Wyoming,225,-1073998.073792209383100,2265261.642272043507546,42.710647920000000,-109.231920430000002,60000.000049229296565,225000000.369219720363617,Id-626,No,No,
15.000000000000000,11118.000000000000000,Wyoming,225,-1059244.143957790918648,2262555.805027957074344,42.704862849999998,-109.047892180000005,60000.000245950184762,225000001.844626456499100,Id-238,No,No,
15.000000000000000,11119.000000000000000,Wyoming,225,-1044490.214122042874806,2259849.967807790730149,42.698818199999998,-108.863895350000007,59999.999852508401091,224999998.893812984228134,Id-062,Yes,Yes,Bait
15.000000000000000,10737.000000000000000,Wyoming,225,-1200147.023972043069080,2242646.550707790534943,42.345156680000002,-110.719758979999995,60000.000049229965953,225000000.369224756956100,Id-163,Yes,Yes,Bait
15.000000000000000,10738.000000000000000,Wyoming,225,-1185393.094148123636842,2239940.713456460740417,42.341474030000001,-110.536593199999999,60000.000049229296565,225000000.369219720363617,Id-515,No,No,
15.000000000000000,10861.000000000000000,Wyoming,225,-1197441.186735748080537,2257400.480520165525377,42.479271930000003,-110.714895900000002,60000.000165626042872,225000001.242195367813110,Id-227,No,No,
15.000000000000000,10862.000000000000000,Wyoming,225,-1182687.256922043161467,2254694.643307790625840,42.475581509999998,-110.531376679999994,59999.999852509892662,224999998.893824189901352,Id-396,No,No,
15.000000000000000,11607.000000000000000,Wyoming,225,-1151698.303727957187220,2340512.384892208967358,43.276762789999999,-110.314001559999994,60000.000049229958677,225000000.369224756956100,Id-545,No,No,
15.000000000000000,11608.000000000000000,Wyoming,225,-1136944.373929833760485,2337806.547685747966170,43.272500039999997,-110.128375930000004,59999.999772190087242,224999998.291425645351410,Id-534,No,No,
15.000000000000000,11609.000000000000000,Wyoming,225,-1122190.444092208985239,2335100.710422043222934,43.267975090000000,-109.942774020000002,60000.000085307736299,225000000.639807999134064,Id-336,No,No,
15.000000000000000,11610.000000000000000,Wyoming,225,-1107436.514277957146987,2332394.873192209284753,43.263187989999999,-109.757197250000004,59999.999852510562050,224999998.893829226493835,Id-067,Yes,Yes,Bait
15.000000000000000,11611.000000000000000,Wyoming,225,-1092682.584499999880791,2329689.036000000312924,43.258138809999998,-109.571647029999994,59999.999932831713522,224999999.496237874031067,Id-257,No,No,
15.000000000000000,11612.000000000000000,Wyoming,225,-1077928.654699999839067,2326983.198800000362098,43.252827609999997,-109.386124769999995,59999.999932831044134,224999999.496232837438583,Id-131,Yes,Yes,Bait
15.000000000000000,11827.000000000000000,Idaho,225,-1559396.664007790852338,2445783.686977956909686,43.558195990000002,-115.524340899999999,60000.000013150856830,225000000.098631411790848,Id-001,Yes,Yes,Bait
15.000000000000000,11828.000000000000000,Idaho,225,-1544642.734172042692080,2443077.849757791031152,43.561298280000003,-115.337898089999996,60000.000085307066911,225000000.639802962541580,Id-495,No,No,
15.000000000000000,11830.000000000000000,Idaho,225,-1515134.874542208854109,2437666.175272043328732,43.566712000000003,-114.964965370000002,60000.000085307066911,225000000.639802962541580,Id-505,No,No,
15.000000000000000,11832.000000000000000,Idaho,225,-1485627.014944085385650,2432254.500815581995994,43.571071009999997,-114.591979429999995,59999.999932828875899,224999999.496216565370560,Id-210,No,No,
15.000000000000000,11851.000000000000000,Idaho,225,-1205302.348542209248990,2380843.593472042586654,43.559857160000000,-111.048155460000004,60000.000085307736299,225000000.639807999134064,Id-202,No,No,
15.000000000000000,11854.000000000000000,Wyoming,225,-1161040.559077957412228,2372726.081792208831757,43.549383990000003,-110.488907859999998,60000.000013151526218,225000000.098636448383331,Id-302,No,No,
15.000000000000000,11855.000000000000000,Wyoming,225,-1146286.629236294887960,2370020.244587624911219,43.545365969999999,-110.302532389999996,60000.000049229965953,225000000.369224756956100,Id-074,Yes,Yes,Bait
15.000000000000000,11856.000000000000000,Wyoming,225,-1131532.699463705532253,2367314.407312375027686,43.541084540000000,-110.116179489999993,60000.000049229303841,225000000.369219720363617,Id-218,No,No,
15.000000000000000,11857.000000000000000,Wyoming,225,-1116778.769664251944050,2364608.570079834200442,43.536539769999997,-109.929850610000003,59999.999932831713522,224999999.496237874031067,Id-594,No,No,
15.000000000000000,11727.000000000000000,Idaho,225,-1208008.185807791072875,2366089.663627956528217,43.425508600000001,-111.052442670000005,60000.000049229289289,225000000.369219690561295,Id-382,No,No,
15.000000000000000,11729.000000000000000,Wyoming,225,-1178500.326120166340843,2360677.989164251834154,43.418804719999997,-110.680321230000004,60000.000165627548995,225000001.242206573486328,Id-500,No,No,
15.000000000000000,11730.000000000000000,Wyoming,225,-1163746.396272042999044,2357972.151957790832967,43.415058369999997,-110.494289199999997,60000.000245947354415,225000001.844605147838593,Id-460,No,No,
15.000000000000000,11731.000000000000000,Wyoming,225,-1148992.466485748300329,2355266.314720165915787,43.411049140000003,-110.308278200000004,59999.999968908814481,224999999.766816079616547,Id-138,Yes,Yes,Lure
